"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-221.468,0.0388684,0.0192899,0.0622905,-0.00723866,-112.873,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-221.214,0.109169,0.0106973,-0.0873391,0.0170219,-137.876,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-220.96,0.12721,-0.143363,-0.128398,0.0783643,0.608,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-220.705,0.0011064,-0.256949,0.0361741,0.0584351,0,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-220.451,-0.0217884,-0.241497,0.175713,-0.014999,28.038,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-220.197,-0.0843631,-0.125189,0.134432,-0.0407264,-29.044,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-219.943,0.053773,-0.064837,-0.00974533,-0.114003,1722.94,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-219.689,0.0559807,-0.158099,-0.00568258,-0.160271,0,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-219.434,0.048414,-0.110973,-0.0429636,-0.0907943,345.596,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-219.18,0.0499436,-0.00734962,0.0181914,-0.0154736,-89.01,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-218.926,-0.0623512,0.0573254,0.0567379,-0.044392,4.157,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-218.672,-0.11178,0.1017,0.0706968,-0.031264,-35.752,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-218.418,0.111765,-0.0173928,0.0406823,-0.0548303,-68.738,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-218.163,0.141424,-0.101243,0.16329,-0.136292,-9.972,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-217.909,0.0353194,-0.0459392,0.147166,-0.107674,28.59,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-217.655,0.00281283,0.0394061,0.0448122,-0.0443745,1656.152,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-217.401,0.0447244,0.0724484,0.0741149,-0.031158,-0.169,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-217.147,0.0470177,-0.00984846,0.119488,-0.0776109,-86.013,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-216.892,-0.0498028,-0.0513992,0.0384754,-0.0227957,-8.294,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-216.638,-0.104623,-0.0781101,-0.00532235,0.141783,0,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-216.384,-0.10147,-0.0620006,0.0316061,0.0970238,110.565,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-216.13,-0.0472266,0.0233677,0.129015,-0.0489996,-73.416,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
-215.876,-0.0245485,-0.0473211,0.041492,-0.0332749,82.991,"2","2025-10-26T14:01:24.464Z","2025-10-26T14:13:25.212Z","channel 3_UTC_20251026_140124.464.xml"
