"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-213.029,-0.0394385,-0.0560575,0.0764925,-0.0932115,101.28,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-212.775,0.0178973,-0.135931,0.0438167,-0.139086,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-212.521,-0.0223806,-0.185972,0.0536806,0.0168419,172.469,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-212.267,-0.140703,-0.0297502,0.0318419,0.00442206,-128.746,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-212.013,-0.103236,-0.0323215,0.00122597,-0.0525506,1598.069,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-211.758,-0.101048,-0.117682,-0.103356,-0.111123,59.155,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-211.504,-0.158297,-0.147043,0.132166,-0.100168,3.853,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-211.25,-0.115794,-0.138596,0.214562,0.0313436,-75.655,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-210.996,-0.0855849,-0.0741768,0.149563,0.0416849,-61.563,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-210.742,-0.017797,-0.119841,0.153143,-0.0740066,223.682,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-210.487,0.00873049,-0.0730059,0.0654021,-0.0868124,1092.046,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-210.233,-0.0398883,-0.0413398,0.0318236,-0.106067,239.546,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-209.979,0.0841864,-0.0334399,-0.0354302,-0.100026,46.919,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-209.725,0.0342705,0.0145277,-0.0153441,-0.0600026,94.968,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-209.471,-0.206657,-0.114991,0.0849151,-0.0890824,-10.376,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-209.216,-0.184879,-0.175844,0.11582,-0.110107,25.452,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-208.962,-0.0855235,-0.165296,0.057279,-0.121565,291.453,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-208.708,-0.14803,-0.0527041,0.0640688,-0.134578,8.776,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-208.454,-0.22234,-0.0262405,-0.0324171,-0.0741121,-56.266,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-208.2,-0.125657,-0.120116,0.0314514,-0.138495,300.179,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-207.945,-0.125046,-0.216754,0.0285124,-0.158814,865.819,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-207.691,0.00447748,-0.195085,0.0154581,-0.0327741,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-207.437,-0.0466231,-0.140052,0.0555858,0.00440115,-62.285,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-207.183,-0.0800175,-0.176914,0.0436937,-0.106833,401.088,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-206.929,-0.0806314,-0.226579,0.0863804,-0.0336279,44.292,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-206.674,-0.0556615,-0.18889,0.101949,-0.0267292,23.956,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-206.42,-0.174205,-0.0991921,0.0877026,-0.00569086,-123.568,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-206.166,-0.173453,-0.0804024,0.0046,-0.00751818,9.853,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-205.912,-0.0617634,-0.197771,0.0134529,-0.0229637,406.364,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-205.658,0.0222495,-0.144353,0.0738808,-0.100261,753.337,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-205.403,-0.0960445,0.0107022,0.0893494,-0.168441,-67.893,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
