"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","depth_m","datetime","label","leg"
10.015,2976.37,2736.15,3166.95,2892.71,9.704,"2026-05-02T11:59:36.502Z",10.015,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
10.269,2973.81,2723.44,3164.57,2880.65,9.107,"2026-05-02T11:59:36.502Z",10.269,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
10.523,2972.31,2713.04,3161.76,2867.49,8.529,"2026-05-02T11:59:36.502Z",10.523,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
10.777,2969.28,2703.15,3160.24,2856.22,8.03,"2026-05-02T11:59:36.502Z",10.777,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
11.032,2966.17,2694.81,3158.62,2846.24,7.618,"2026-05-02T11:59:36.502Z",11.032,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
11.286,2965.34,2689.82,3155.99,2837.23,7.299,"2026-05-02T11:59:36.502Z",11.286,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
11.54,2965.29,2686.91,3154.05,2830.79,7.077,"2026-05-02T11:59:36.502Z",11.54,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
11.794,2964.58,2684.91,3153.6,2827.34,6.949,"2026-05-02T11:59:36.502Z",11.794,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
12.048,2964.73,2684.87,3153.37,2825.56,6.898,"2026-05-02T11:59:36.502Z",12.048,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
12.303,2966.23,2686.89,3153.4,2825.32,6.91,"2026-05-02T11:59:36.502Z",12.303,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
12.557,2966.95,2689.16,3154.8,2827.3,6.98,"2026-05-02T11:59:36.502Z",12.557,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
12.811,2966.37,2691.3,3156.71,2830.44,7.102,"2026-05-02T11:59:36.502Z",12.811,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
13.065,2967.18,2694.95,3157.62,2833.41,7.252,"2026-05-02T11:59:36.502Z",13.065,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
13.319,2969.16,2700.27,3158.45,2837.27,7.448,"2026-05-02T11:59:36.502Z",13.319,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
13.574,2969.03,2704.65,3160.61,2843.08,7.695,"2026-05-02T11:59:36.502Z",13.574,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
13.828,2968.29,2708.02,3162.81,2849.23,7.937,"2026-05-02T11:59:36.502Z",13.828,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
14.082,2969.73,2712.69,3163.69,2854.24,8.16,"2026-05-02T11:59:36.502Z",14.082,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
14.336,2971.93,2717.86,3164.54,2859.11,8.373,"2026-05-02T11:59:36.502Z",14.336,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
14.59,2971.94,2721.44,3166.5,2864.85,8.595,"2026-05-02T11:59:36.502Z",14.59,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
14.845,2971.07,2724.27,3168.08,2870.11,8.815,"2026-05-02T11:59:36.502Z",14.845,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
