Date-Time,Temperature,Electrical Conductivity,Specific Conductivity,Salinity,Total Dissolved Solids,FilteredTemp,FilteredSPC
2024-11-06 14:15:00,13.78,3.5,4.5,0.01,2.26,13.78,4.5
2024-11-06 14:30:00,15.17,531.2,669.4,0.32,345.27,15.17,669.4
2024-11-06 14:45:00,15.23,532.8,670.4,0.32,346.32,15.23,670.4
2024-11-06 15:00:00,15.19,533.4,671.9,0.32,346.72,15.19,671.9
2024-11-06 15:15:00,15.13,533.4,672.8,0.32,346.71,15.13,672.8
2024-11-06 15:30:00,15.19,534.4,673.1,0.32,347.35,15.19,673.1
2024-11-06 15:45:00,15.16,534.1,673.2,0.32,347.19,15.16,673.2
2024-11-06 16:00:00,15.09,533.3,673.5,0.32,346.66,15.16,673.5
2024-11-06 16:15:00,15.06,533.8,674.7,0.32,347.0,15.16,674.7
2024-11-06 16:30:00,15.17,534.9,674.0,0.32,347.66,15.17,674.0
2024-11-06 16:45:00,15.17,535.7,675.0,0.32,348.21,15.17,675.0
2024-11-06 17:00:00,15.13,535.1,675.0,0.32,347.79,15.13,675.0
2024-11-06 17:15:00,15.01,534.6,676.5,0.32,347.46,15.01,676.5
2024-11-06 17:30:00,15.1,535.4,676.0,0.32,347.99,15.1,676.0
2024-11-06 17:45:00,14.99,534.7,677.1,0.32,347.59,14.99,677.1
2024-11-06 18:00:00,14.98,534.7,677.1,0.32,347.54,14.98,677.1
2024-11-06 18:15:00,15.05,534.9,676.2,0.32,347.71,15.05,676.2
2024-11-06 18:30:00,15.15,537.7,677.9,0.32,349.5,15.15,677.9
2024-11-06 18:45:00,15.15,537.6,677.9,0.32,349.47,15.15,677.9
2024-11-06 19:00:00,15.02,537.3,679.7,0.33,349.23,15.02,679.7
2024-11-06 19:15:00,15.13,537.7,678.2,0.32,349.52,15.13,678.2
2024-11-06 19:30:00,15.02,536.7,679.0,0.33,348.88,15.02,679.0
2024-11-06 19:45:00,15.01,537.0,679.5,0.33,349.08,15.01,679.5
2024-11-06 20:00:00,14.97,537.9,681.4,0.33,349.61,14.97,681.4
2024-11-06 20:15:00,15.03,538.3,680.8,0.33,349.89,15.03,680.8
2024-11-06 20:30:00,14.95,537.8,681.7,0.33,349.57,14.95,681.7
2024-11-06 20:45:00,14.98,538.0,681.4,0.33,349.72,14.98,681.4
2024-11-06 21:00:00,15.11,540.0,681.5,0.33,351.0,15.11,681.5
