Date-Time,Temperature,Electrical Conductivity,Specific Conductivity,Salinity,Total Dissolved Solids,FilteredTemp,FilteredSPC
2025-01-29 18:15:00,-2.7750818729400635,0.0,0.0,-0.0044817356392741,0.0,-2.7750819,0.0
2025-01-29 18:30:00,4.775943756103516,425.4788513183594,739.583984375,0.3361932039260864,276.5612487792969,4.7759438,739.584
2025-01-29 18:45:00,5.060276031494141,434.9210815429687,748.23095703125,0.3410956859588623,282.6986999511719,5.060276,748.23096
2025-01-29 19:00:00,4.979618072509766,432.2702026367187,745.8438110351564,0.3397362232208252,280.9756164550781,4.979618,745.8438
2025-01-29 19:15:00,4.889133453369141,431.9298400878906,747.7080078125,0.3403591513633728,280.75439453125,4.8891335,747.708
2025-01-29 19:30:00,4.798618316650391,431.3538208007813,749.176025390625,0.3407914042472839,280.3799743652344,4.7986183,746.5888
2025-01-29 19:45:00,4.724124908447266,427.5934143066406,744.6681518554686,0.3384446203708648,277.9356994628906,4.724125,744.66815
2025-01-29 20:00:00,4.646366119384766,427.03515625,745.81689453125,0.3387596309185028,277.5728454589844,4.646366,745.8169
2025-01-29 20:15:00,4.578250885009766,426.4091796875,746.5888061523436,0.3389231562614441,277.1659545898437,4.578251,746.5888
2025-01-29 20:30:00,4.500339508056641,426.06634521484375,748.1317138671875,0.339419424533844,276.943115234375,4.5003395,748.1317
2025-01-29 20:45:00,4.438602447509766,425.4313659667969,748.72119140625,0.3395124673843384,276.5303649902344,4.4386024,748.7212
2025-01-29 21:00:00,4.367038726806641,425.0706176757813,750.0701293945312,0.3399322628974914,276.2958984375,4.3670387,750.0701
2025-01-29 21:15:00,4.295413970947266,424.2836608886719,750.6738891601564,0.3399988412857055,275.78436279296875,4.295414,750.6739
2025-01-29 21:30:00,4.253055572509766,424.0030822753906,751.3599853515625,0.3401922881603241,275.6019897460937,4.2530556,751.36
2025-01-29 21:45:00,4.207431793212891,423.5038757324219,751.751708984375,0.3402364253997803,275.2774963378906,4.207432,751.7517
2025-01-29 22:00:00,4.158512115478516,422.9555358886719,752.14990234375,0.3402727246284485,274.92108154296875,4.158512,752.1499
2025-01-29 22:15:00,4.109561920166016,422.3664245605469,752.4778442382812,0.3402750194072723,274.5381774902344,4.109562,752.47784
2025-01-29 22:30:00,4.070377349853516,421.78271484375,752.5411376953125,0.3401826620101928,274.15875244140625,4.0703773,752.54114
2025-01-29 22:45:00,4.040958404541016,421.5538024902344,752.9627075195312,0.3402887880802154,274.00994873046875,4.0409584,752.9627
2025-01-29 23:00:00,4.005008697509766,421.20703125,753.3591918945312,0.3403622508049011,273.7845458984375,4.0050087,753.3592
2025-01-29 23:15:00,3.982120275497437,420.947021484375,753.5419311523436,0.3403760492801666,273.61553955078125,3.9821203,753.54193
2025-01-29 23:30:00,3.952670812606811,420.5576171875,753.6792602539062,0.3403475880622864,273.3624267578125,3.9526708,753.67926
2025-01-29 23:45:00,3.9232213497161865,420.1851806640625,753.8472900390625,0.3403332829475403,273.120361328125,3.9232213,753.8473
2025-01-30 00:00:00,3.903598546981811,419.9713745117187,754.0211791992188,0.3403526246547699,272.9813842773437,3.9035985,754.0212
2025-01-30 00:15:00,3.880679845809937,419.9228515625,754.5860595703125,0.3405449092388153,272.9498291015625,3.8806798,754.58606
2025-01-30 00:30:00,3.8511998653411865,419.43841552734375,754.5549926757811,0.3404362797737121,272.63494873046875,3.8511999,754.555
2025-01-30 00:45:00,3.8282506465911865,419.143798828125,754.6792602539062,0.3404212296009063,272.4434509277344,3.8282506,754.67926
2025-01-30 01:00:00,3.8118627071380615,418.799560546875,754.5269775390625,0.3402973115444183,272.2196960449219,3.8118627,754.527
2025-01-30 01:15:00,3.8085973262786874,418.91705322265625,754.8319091796875,0.3404298722743988,272.29608154296875,3.8085973,754.8319
2025-01-30 01:30:00,3.795474767684937,418.7618713378906,754.9271240234375,0.3404324352741241,272.1952209472656,3.7954748,754.9271
2025-01-30 01:45:00,3.798770666122437,418.9225769042969,755.1226806640625,0.3405346870422363,272.2996520996094,3.7987707,755.1227
2025-01-30 02:00:00,3.775821447372437,418.6041259765625,755.2047119140625,0.3404994010925293,272.0926818847656,3.7758214,755.2047
2025-01-30 02:15:00,3.7430150508880615,418.2737121582031,755.5476684570312,0.3405544459819793,271.8778991699219,3.743015,755.54767
2025-01-30 02:30:00,3.729892492294311,418.0204162597656,755.4661865234375,0.3404738306999206,271.7132568359375,3.7298925,755.4662
2025-01-30 02:45:00,3.716739416122437,417.9866027832031,755.7823486328125,0.340579479932785,271.6912841796875,3.7167394,755.78235
2025-01-30 03:00:00,3.693790197372437,417.6437377929687,755.821044921875,0.340523213148117,271.4684143066406,3.6937902,755.82104
2025-01-30 03:15:00,3.683902502059937,417.4403076171875,755.7368774414062,0.3404516875743866,271.336181640625,3.6839025,755.7369
2025-01-30 03:30:00,3.6806371212005615,417.4771118164063,755.8973388671875,0.3405162692070007,271.360107421875,3.6806371,755.89734
2025-01-30 03:45:00,3.664218664169311,417.31683349609375,756.0791015625,0.340548038482666,271.25592041015625,3.6806371,756.0791
2025-01-30 04:00:00,3.6707799434661865,417.4461975097656,756.124755859375,0.3405907750129699,271.34002685546875,3.67078,756.12476
2025-01-30 04:15:00,3.6773717403411865,417.5383605957031,756.1021118164062,0.3406015932559967,271.3999328613281,3.6773717,756.1021
2025-01-30 04:30:00,3.6806371212005615,417.679931640625,756.2645874023436,0.3406883180141449,271.491943359375,3.6806371,756.2646
2025-01-30 04:45:00,3.6773717403411865,417.661376953125,756.3248901367188,0.3407059609889984,271.4798889160156,3.6773717,756.3249
2025-01-30 05:00:00,3.683902502059937,417.8180847167969,756.4207763671875,0.3407721519470215,271.5817565917969,3.6839025,756.4208
2025-01-30 05:15:00,3.693790197372437,417.9171142578125,756.3157958984375,0.3407550454139709,271.6461181640625,3.6937902,756.3158
2025-01-30 05:30:00,3.726596593856811,418.3998107910156,756.2464599609375,0.34082892537117,271.9598693847656,3.7265966,756.24646
2025-01-30 05:45:00,3.7134740352630615,418.3717346191406,756.572509765625,0.3409392535686493,271.9416198730469,3.713474,756.5725
2025-01-30 06:00:00,3.716739416122437,418.4710083007813,756.658203125,0.3409900069236755,272.0061340332031,3.7167394,756.6582
2025-01-30 06:15:00,3.716739416122437,418.5777282714844,756.8511962890625,0.3410804569721222,272.07550048828125,3.7167394,756.8512
2025-01-30 06:30:00,3.716739416122437,418.6545715332031,756.9901123046875,0.3411455750465393,272.1254577636719,3.7167394,756.9901
2025-01-30 06:45:00,3.716739416122437,418.71917724609375,757.10693359375,0.3412003219127655,272.1674499511719,3.7167394,757.10693
2025-01-30 07:00:00,3.7134740352630615,418.77056884765625,757.2937622070312,0.3412773013114929,272.20086669921875,3.713474,757.29376
2025-01-30 07:15:00,3.7134740352630615,418.9858703613281,757.68310546875,0.3414598107337951,272.3408203125,3.713474,757.6831
2025-01-30 07:30:00,3.7101781368255615,418.9334106445313,757.68310546875,0.3414490818977356,272.30670166015625,3.7101781,757.6831
2025-01-30 07:45:00,3.693790197372437,418.7948913574219,757.904296875,0.3414994776248932,272.2166748046875,3.7101781,757.9043
2025-01-30 08:00:00,3.6806371212005615,418.5637817382813,757.8649291992188,0.3414382040500641,272.0664367675781,3.6806371,757.8649
2025-01-30 08:15:00,3.7036168575286874,418.5561828613281,757.1895751953125,0.3411964476108551,272.0615234375,3.7036169,757.1896
2025-01-30 08:30:00,3.726596593856811,418.8721618652344,757.1002197265625,0.341229110956192,272.26690673828125,3.7265966,757.1002
2025-01-30 08:45:00,3.756137609481811,419.2039489746094,756.8512573242188,0.3412079811096191,272.4825439453125,3.7561376,756.85126
2025-01-30 09:00:00,3.7889134883880615,419.52239990234375,756.4861450195312,0.341142475605011,272.6895446777344,3.7889135,756.48615
2025-01-30 09:15:00,3.8544652462005615,420.3341064453125,756.0730590820312,0.3411590456962585,273.2171630859375,3.8544652,756.07306
2025-01-30 09:30:00,3.933048009872437,421.3349914550781,755.63037109375,0.3412016332149505,273.86773681640625,3.933048,755.6304
2025-01-30 09:45:00,4.027896881103516,422.5085754394531,755.0379638671875,0.3412230014801025,274.63055419921875,4.027897,755.03796
2025-01-30 10:00:00,4.106296539306641,423.5841369628906,754.739501953125,0.3413282930850982,275.3296813964844,4.1062965,754.7395
2025-01-30 10:15:00,4.207431793212891,424.5952453613281,753.68896484375,0.3411480486392975,275.9869079589844,4.207432,753.68896
2025-01-30 10:30:00,4.308444976806641,425.9256286621094,753.2142944335938,0.3412349820137024,276.8516540527344,4.308445,753.2143
2025-01-30 10:45:00,4.464603424072266,427.9543151855469,752.4382934570312,0.3413431048393249,278.1702880859375,4.4646034,752.4383
2025-01-30 11:00:00,4.587985992431641,429.4274597167969,751.6043701171875,0.3413189649581909,279.1278381347656,4.587986,751.6044
2025-01-30 11:15:00,4.701450347900391,430.5905456542969,750.5101318359375,0.3411377370357513,279.88385009765625,4.7014503,750.51013
2025-01-30 11:30:00,4.840641021728516,432.3111877441406,749.6897583007811,0.3411563038825989,281.00225830078125,4.840641,749.68976
2025-01-30 11:45:00,4.976383209228516,433.9080810546875,748.7576293945312,0.3411061465740204,282.0402526855469,4.976383,748.7576
2025-01-30 12:00:00,5.131198883056641,435.5986328125,747.4813232421875,0.340940922498703,283.1390991210937,5.131199,747.4813
2025-01-30 12:15:00,5.288974761962891,437.6125793457031,746.69189453125,0.341007262468338,284.4481811523437,5.288975,746.6919
2025-01-30 12:30:00,5.443210601806641,439.3800659179687,745.587158203125,0.3409070074558258,285.5970458984375,5.4432106,745.58716
2025-01-30 12:45:00,5.606784820556641,441.2250061035156,744.37890625,0.3407754600048065,286.7962341308594,5.606785,744.3789
2025-01-30 13:00:00,5.757236480712891,442.9408264160156,743.3115844726564,0.3406683802604675,287.9115295410156,5.7572365,743.3116
2025-01-30 13:15:00,5.904239654541016,444.6687927246094,742.365478515625,0.3406035006046295,289.0346984863281,5.9042397,742.3655
2025-01-30 13:30:00,6.044620513916016,446.2797546386719,741.406005859375,0.3405091762542724,290.0818176269531,6.0446205,741.406
