ft,in,decimalfeet,P1elev,P1temp1,P1tempBefore,P1TempAfter,P2elev,P2TempBefore,P2TempAfter,P5elev,P5Temp,P4elev,P4TempBefore,P4TempAfter,P6elev,P6Temp
16,4,16.33333333,884.2534084,,,,884.5677479,,,894.6513546,11.6,888.3026196,,,,11.7
16,6,16.5,884.0867418,,,,884.4010813,,,894.4846879,11.6,888.1359529,,,,11.6
16,8,16.66666667,883.9200751,,,,884.2344146,,,894.3180213,11.5,887.9692863,,,,11.4
16,10,16.83333333,883.7534084,,,,884.0677479,,,894.1513546,11.5,887.8026196,,,,11.3
17,0,17,883.5867418,,,,883.9010813,,,893.9846879,11.4,887.6359529,,,,11.3
17,2,17.16666667,883.4200751,,,,883.7344146,,,893.8180213,11.4,887.4692863,,,,11
17,4,17.33333333,883.2534084,,,,883.5677479,,,893.6513546,11.3,887.3026196,,,,10.9
17,6,17.5,883.0867418,,,,883.4010813,,,893.4846879,11.3,887.1359529,,,,10.8
17,8,17.66666667,882.9200751,,,,883.2344146,,,893.3180213,11.2,886.9692863,,,,10.7
17,10,17.83333333,882.7534084,,,,883.0677479,,,893.1513546,11.1,886.8026196,,,,10.6
18,0,18,882.5867418,,,,882.9010813,,,892.9846879,11.1,886.6359529,,,,10.6
18,2,18.16666667,882.4200751,,,,882.7344146,,,892.8180213,11,886.4692863,,,,10.5
18,4,18.33333333,882.2534084,,,,882.5677479,,,892.6513546,11,886.3026196,,,,10.4
18,6,18.5,882.0867418,,,,882.4010813,,,892.4846879,10.9,886.1359529,,,,10.4
18,8,18.66666667,881.9200751,,,,882.2344146,,,892.3180213,10.9,885.9692863,,,,10.3
18,10,18.83333333,881.7534084,,,,882.0677479,,,892.1513546,10.8,885.8026196,,,,10.3
19,0,19,881.5867418,,,,881.9010813,,,891.9846879,10.8,885.6359529,,,,10.3
19,2,19.16666667,881.4200751,,,,881.7344146,,,891.8180213,10.8,885.4692863,,,,10.3
19,4,19.33333333,881.2534084,,,,881.5677479,,,891.6513546,10.8,885.3026196,,,,10.3
19,6,19.5,881.0867418,,,,881.4010813,,,891.4846879,10.7,885.1359529,,,,10.2
19,8,19.66666667,880.9200751,,,,881.2344146,,,891.3180213,10.7,884.9692863,,,,10.2
19,10,19.83333333,880.7534084,,,,881.0677479,,,891.1513546,10.6,884.8026196,,,,10.1
20,0,20,880.5867418,,,,880.9010813,,,890.9846879,10.6,884.6359529,,,,10
20,2,20.16666667,880.4200751,,,,880.7344146,,,890.8180213,10.6,884.4692863,,,,10
20,4,20.33333333,880.2534084,,,,880.5677479,,,890.6513546,10.5,884.3026196,,,,10
20,6,20.5,880.0867418,,,,880.4010813,,,890.4846879,10.5,884.1359529,,,,9.9
20,8,20.66666667,879.9200751,,,,880.2344146,,,890.3180213,10.5,883.9692863,,,,9.9
20,10,20.83333333,879.7534084,,,,880.0677479,,,890.1513546,10.5,883.8026196,,,,9.9
21,0,21,879.5867418,,,,879.9010813,,,889.9846879,10.4,883.6359529,,,,9.9
21,2,21.16666667,879.4200751,,,,879.7344146,,,889.8180213,10.4,883.4692863,,,,9.9
21,4,21.33333333,879.2534084,,,,879.5677479,,,889.6513546,10.3,883.3026196,,,,9.9
,,,,,,,,,,,,,,,,
