"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","datetime","label","leg","depth_m","depth_ft"
8.235,3223.22,3054.27,3517.28,3328.05,20.692,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",0.234999999999999,0.770997399999998
8.49,3219.4,3049.29,3508.32,3299.86,20.12,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",0.49,1.6076116
8.744,3221.44,3063.68,3506.67,3294.26,20.374,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",0.744,2.44094496
8.998,3226.03,3088.97,3510.52,3308.84,21.28,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",0.997999999999999,3.27427832
9.252,3229.85,3110.27,3516.17,3334.21,22.337,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",1.252,4.10761168
9.506,3230.98,3116.43,3521.53,3358.22,22.997,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",1.506,4.94094504
9.761,3227.48,3105.68,3525.25,3369.33,22.985,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",1.761,5.77755924
10.015,3220.98,3083.74,3525.24,3363.21,22.361,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",2.015,6.6108926
10.269,3215.57,3058.91,3521.18,3343.6,21.36,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",2.269,7.44422596
10.523,3211.26,3034.82,3515.89,3318.14,20.222,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",2.523,8.27755932
10.777,3205.18,3010.5,3511.46,3292.28,19.093,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",2.777,9.11089268
11.032,3198.15,2986.64,3506.52,3266.72,18.021,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",3.032,9.94750688
11.286,3193.15,2965.1,3500.23,3241.59,17.006,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",3.286,10.78084024
11.54,3189.43,2946.12,3494.49,3218.68,16.074,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",3.54,11.6141736
11.794,3185.5,2928.86,3490.11,3198.53,15.239,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",3.794,12.44750696
12.048,3182.43,2914.27,3485.83,3180.07,14.5,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",4.048,13.28084032
12.303,3180.88,2902.82,3482.08,3163.88,13.861,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",4.303,14.11745452
12.557,3178.5,2892.04,3480.16,3150.99,13.307,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",4.557,14.95078788
12.811,3174.64,2881.01,3478.94,3139.98,12.818,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",4.811,15.78412124
13.065,3172.52,2871.83,3476.66,3129.15,12.368,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",5.065,16.6174546
13.319,3172.1,2865.08,3474.39,3119.61,11.978,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",5.319,17.45078796
13.574,3170.22,2858.07,3473.81,3112.4,11.641,"2026-07-23T11:01:19.153Z",2026-07-23 08:01:19.153,"2026-07-23 08:01","down",5.574,18.28740216
