"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","datetime","label","leg","depth_m","depth_ft"
17.387,3400.82,2999.66,3725.35,3263.91,10.866,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",9.387,30.79724508
17.641,3398.94,2998.31,3725.9,3264.46,10.876,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",9.641,31.63057844
17.895,3398.2,2997.15,3725.04,3263.49,10.856,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",9.895,32.4639118
18.149,3398.32,2996.58,3724.43,3262.91,10.836,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",10.149,33.29724516
18.403,3396.92,2995.37,3724.96,3263.3,10.835,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",10.403,34.13057852
18.658,3394.89,2993.6,3724.97,3263.22,10.834,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",10.658,34.96719272
18.912,3395.52,2993.73,3724.11,3262.55,10.824,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",10.912,35.80052608
19.166,3397.71,2995.32,3724.73,3263.24,10.818,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",11.166,36.63385944
19.42,3397.49,2995.25,3726.82,3264.99,10.819,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",11.42,37.4671928
19.674,3395.83,2994.15,3727.48,3265.56,10.829,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",11.674,38.30052616
19.929,3396.34,2994.54,3726.71,3265.21,10.836,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",11.929,39.13714036
20.183,3397.69,2995.67,3727.26,3266.23,10.848,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",12.183,39.97047372
20.437,3396.63,2994.96,3729.02,3268.24,10.866,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",12.437,40.80380708
20.691,3395.24,2993.89,3729.53,3269.32,10.887,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",12.691,41.63714044
20.945,3395.61,2993.97,3729.23,3270.08,10.906,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",12.945,42.4704738
21.2,3395.7,2993.75,3730.27,3271.98,10.923,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",13.2,43.307088
21.454,3393.55,2992.27,3731.6,3273.5,10.944,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",13.454,44.14042136
21.708,3392.2,2991.22,3731.05,3273.04,10.948,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",13.708,44.97375472
