LAF,ST,AST,REV-ST,REV-AST,TMP,start_time,depth_m,datetime,label,leg,depth_ft
74.073,3232.38,2824.16,3797.03,3317.51,10.891,2026-07-06T06:36:12.560Z,65.073,2026-07-06T06:36:12Z,2026-07-06 06:36,down,213.49410131999997
74.073,3165.65,2768.26,3649.73,3194.29,11.019,2026-07-06T06:48:15.061Z,65.073,2026-07-06T06:48:15Z,2026-07-06 06:48,down,213.49410131999997
74.073,3167.79,2773.02,3672.07,3213.25,10.997,2026-07-06T07:00:19.016Z,65.073,2026-07-06T07:00:19Z,2026-07-06 07:00,down,213.49410131999997
74.073,3274.3,2865.71,3706.31,3243.24,10.911,2026-07-06T07:12:22.033Z,65.073,2026-07-06T07:12:22Z,2026-07-06 07:12,down,213.49410131999997
74.073,3153.69,2761.25,3604.77,3156.29,10.908,2026-07-06T07:24:24.769Z,65.073,2026-07-06T07:24:24Z,2026-07-06 07:24,down,213.49410131999997
74.073,3177.86,2783.54,3669.57,3212.8,10.896,2026-07-06T07:36:27.207Z,65.073,2026-07-06T07:36:27Z,2026-07-06 07:36,down,213.49410131999997
74.073,3345.64,2933.89,3816.01,3346.37,11.031,2026-07-06T07:48:30.240Z,65.073,2026-07-06T07:48:30Z,2026-07-06 07:48,down,213.49410131999997
74.073,3220.75,2824.88,3630.94,3182.89,10.963,2026-07-06T08:00:33.288Z,65.073,2026-07-06T08:00:33Z,2026-07-06 08:00,down,213.49410131999997
74.073,3171.96,2782.27,3657.18,3205.84,10.904,2026-07-06T08:12:36.899Z,65.073,2026-07-06T08:12:36Z,2026-07-06 08:12,down,213.49410131999997
74.073,3248.1,2848.67,3635.92,3187.12,10.889,2026-07-06T08:24:40.213Z,65.073,2026-07-06T08:24:40Z,2026-07-06 08:24,down,213.49410131999997
74.073,3180.7,2790.38,3890.09,3410.19,10.865,2026-07-06T08:36:42.933Z,65.073,2026-07-06T08:36:42Z,2026-07-06 08:36,down,213.49410131999997
74.073,3388.31,2973.71,3726.13,3271.27,10.947,2026-07-06T08:48:45.591Z,65.073,2026-07-06T08:48:45Z,2026-07-06 08:48,down,213.49410131999997
74.073,3290,2889.6,3792.47,3328.6,10.957,2026-07-06T09:00:48.170Z,65.073,2026-07-06T09:00:48Z,2026-07-06 09:00,down,213.49410131999997
74.073,3249.05,2852.34,3708.62,3254.75,10.891,2026-07-06T09:12:50.968Z,65.073,2026-07-06T09:12:50Z,2026-07-06 09:12,down,213.49410131999997
74.073,3222.39,2829.79,3886.28,3411.56,10.852,2026-07-06T09:24:54.188Z,65.073,2026-07-06T09:24:54Z,2026-07-06 09:24,down,213.49410131999997
74.073,3421.47,3005.97,3777.23,3317.97,10.913,2026-07-06T09:36:57.721Z,65.073,2026-07-06T09:36:57Z,2026-07-06 09:36,down,213.49410131999997
74.073,3348.71,2944.17,3864.96,3395.6,10.947,2026-07-06T09:49:01.223Z,65.073,2026-07-06T09:49:01Z,2026-07-06 09:49,down,213.49410131999997
74.073,3319.22,2918.02,3853.15,3385.64,10.887,2026-07-06T10:01:03.896Z,65.073,2026-07-06T10:01:03Z,2026-07-06 10:01,down,213.49410131999997
74.073,3305.38,2904.81,3832.64,3367.05,10.859,2026-07-06T10:13:07.147Z,65.073,2026-07-06T10:13:07Z,2026-07-06 10:13,down,213.49410131999997
74.073,3340.15,2936.49,3846.2,3378.73,10.857,2026-07-06T10:25:10.180Z,65.073,2026-07-06T10:25:10Z,2026-07-06 10:25,down,213.49410131999997
74.073,3308.26,2908.67,3835.02,3369.67,10.849,2026-07-06T10:37:13.478Z,65.073,2026-07-06T10:37:13Z,2026-07-06 10:37,down,213.49410131999997
74.073,3320.06,2918.98,3832.08,3367.97,10.871,2026-07-06T10:49:17.183Z,65.073,2026-07-06T10:49:17Z,2026-07-06 10:49,down,213.49410131999997
74.073,3329.76,2930.1,3808.15,3348.41,10.969,2026-07-06T11:01:19.997Z,65.073,2026-07-06T11:01:19Z,2026-07-06 11:01,down,213.49410131999997
74.073,3298.24,2901.62,3767.93,3311.65,10.907,2026-07-06T11:13:22.686Z,65.073,2026-07-06T11:13:22Z,2026-07-06 11:13,down,213.49410131999997
74.073,3304.58,2905.6,3846.25,3379.61,10.879,2026-07-06T11:25:26.172Z,65.073,2026-07-06T11:25:26Z,2026-07-06 11:25,down,213.49410131999997
74.073,3277.05,2881.66,3853.56,3385.28,10.855,2026-07-06T11:37:29.157Z,65.073,2026-07-06T11:37:29Z,2026-07-06 11:37,down,213.49410131999997
74.073,3301.24,2902.13,3779.12,3319.58,10.898,2026-07-06T11:49:32.206Z,65.073,2026-07-06T11:49:32Z,2026-07-06 11:49,down,213.49410131999997
74.073,3316.69,2915.75,3744.93,3290.4,10.958,2026-07-06T12:01:35.223Z,65.073,2026-07-06T12:01:35Z,2026-07-06 12:01,down,213.49410131999997
74.073,3334.63,2930.31,3845.07,3375.34,10.888,2026-07-06T12:13:38.334Z,65.073,2026-07-06T12:13:38Z,2026-07-06 12:13,down,213.49410131999997
74.073,3244.18,2849.72,3789.8,3326.68,10.893,2026-07-06T12:25:41.382Z,65.073,2026-07-06T12:25:41Z,2026-07-06 12:25,down,213.49410131999997
74.073,3315.77,2912.81,3882.55,3409.43,10.982,2026-07-06T12:37:44.696Z,65.073,2026-07-06T12:37:44Z,2026-07-06 12:37,down,213.49410131999997
74.073,3448.44,3029.14,3741.42,3283.17,10.968,2026-07-06T12:49:48.354Z,65.073,2026-07-06T12:49:48Z,2026-07-06 12:49,down,213.49410131999997
74.073,3182.78,2792.7,3671.72,3220.14,10.884,2026-07-06T13:01:51.543Z,65.073,2026-07-06T13:01:51Z,2026-07-06 13:01,down,213.49410131999997
74.073,3328.6,2920.99,3669.73,3221.02,10.993,2026-07-06T13:13:55.013Z,65.073,2026-07-06T13:13:55Z,2026-07-06 13:13,down,213.49410131999997
74.073,3161.67,2775.14,3789.45,3325.36,11.004,2026-07-06T13:25:58.734Z,65.073,2026-07-06T13:25:58Z,2026-07-06 13:25,down,213.49410131999997
74.073,3222.5,2826.8,3601.35,3158.01,10.93,2026-07-06T13:38:01.735Z,65.073,2026-07-06T13:38:01Z,2026-07-06 13:38,down,213.49410131999997
